Date,Open,High,Low,Close,Volume
1/28/2022,95.4,98,87.61,97.91,"4,107,567"
1/27/2022,104.14,107,92.89,93.52,"3,669,956"
1/26/2022,101.1,119,100.31,103.26,"8,332,540"
1/25/2022,96.92,104.97,95.01,99.79,"3,574,255"
1/24/2022,99.02,102.86,86.29,100.15,"6,267,749"
1/21/2022,101,110.21,92.72,106.36,"5,530,011"
1/20/2022,107.9,115.2,101.6,102.67,"2,920,074"
1/19/2022,110.01,113.05,104.41,106.57,"2,403,579"
1/18/2022,113.11,113.75,104.4,108.91,"3,759,403"
1/14/2022,120.15,122.3,112.02,116.65,"3,850,478"
1/13/2022,128.5,130.5,121.69,122.48,"2,225,270"
1/12/2022,130,131.32,126.45,128.06,"1,574,509"
1/11/2022,130.1,136.8,127.39,130.3,"2,583,055"
1/10/2022,134.99,135.69,120,131.15,"5,511,981"
1/7/2022,159.77,160.31,132.5,140.62,"12,137,310"
1/6/2022,132.84,137.7,121.14,131.03,"6,051,480"
1/5/2022,148.39,148.85,129.15,129.37,"3,396,400"
1/4/2022,152.17,152.99,143.05,148.91,"1,834,894"
1/3/2022,149.23,159.38,149.21,152.84,"1,417,001"
12/31/2021,153.62,156.73,148.1,148.39,"1,393,964"
12/30/2021,151,160,150,155.33,"1,561,882"
12/29/2021,147.85,155.49,142.14,153.93,"2,037,406"
12/28/2021,147.5,157.41,146.41,146.46,"1,334,472"
12/27/2021,152,152.62,140,148.31,"1,615,449"
12/23/2021,154,155,146.02,152.14,"1,055,539"
12/22/2021,158.33,159.15,152.12,154,"1,047,154"
12/21/2021,157.06,160.25,155.14,158.12,"1,430,238"
12/20/2021,153.19,159.68,149.7,157.14,"1,828,561"
12/17/2021,143.75,158.57,139.33,155.64,"4,311,620"
12/16/2021,152.93,154.44,142.13,144.59,"2,164,762"
12/15/2021,147.46,152,141.12,148.59,"2,765,992"
12/14/2021,131,150.37,129.5,147.69,"6,512,133"
12/13/2021,160.33,160.89,135.07,136.88,"5,486,201"
12/10/2021,159.83,162.3,148,159.01,"4,526,860"
12/9/2021,167,172.69,151,155.76,"5,084,340"
12/8/2021,176.6,180.25,171.96,173.65,"2,611,195"
12/7/2021,175.18,181.98,170.51,177.81,"1,972,395"
12/6/2021,166,173.34,163.2,167.12,"2,228,636"
12/3/2021,181,183.93,159.05,172.39,"4,096,688"
12/2/2021,185,187.43,173.07,181.56,"2,087,100"
12/1/2021,199.4,200.11,177.01,179.84,"2,355,535"
11/30/2021,200.1,203.95,188,196.21,"1,723,949"
11/29/2021,204,207.91,200.94,202.01,"1,108,844"
11/26/2021,208.08,211.73,199.2,199.72,"1,235,277"
11/24/2021,217.25,223.99,208,211.78,"1,309,388"
11/23/2021,243.84,252.2,212.56,213.9,"3,351,636"
11/22/2021,230.46,249.64,229.75,247.55,"4,379,604"
11/19/2021,209.14,229.39,208.25,228.8,"3,043,720"
11/18/2021,210.25,215.14,207.5,210.12,"1,005,775"
11/17/2021,206.3,217.7,206,210,"1,352,714"
11/16/2021,209.02,212.57,203.63,207.18,"1,214,596"
11/15/2021,203.86,211.5,201.69,209.14,"1,466,424"
11/12/2021,202.14,205.36,197.88,202.1,"927,991"
11/11/2021,200,208.09,198.15,204.32,"1,079,401"
11/10/2021,202.12,207.39,196.5,199.19,"1,309,389"
11/9/2021,222,223.49,204.44,206.6,"1,845,298"
11/8/2021,212.5,225.04,212.01,218.64,"2,157,912"
11/5/2021,220.64,221,209.01,213.25,"1,810,717"
11/4/2021,222,228.97,211.55,217.84,"2,907,976"
11/3/2021,214,255.69,208.25,218.33,"11,265,590"
11/2/2021,199.35,211.94,191.69,206.99,"3,882,336"
11/1/2021,182.53,208.57,182.05,200.09,"4,944,203"
10/29/2021,182.81,185.75,178,183.51,"2,293,970"
10/28/2021,175.16,183.14,175,182.85,"1,696,206"
10/27/2021,180,183.09,172.33,173.51,"1,106,998"
10/26/2021,173.36,185,172.5,177.84,"2,176,749"
10/25/2021,169.42,174.8,167.26,173.97,"1,442,806"
10/22/2021,178.1,179.49,167.8,169.8,"2,800,443"
10/21/2021,184.71,190.7,180.6,181.71,"2,402,368"
10/20/2021,186.33,188,181.98,184.52,"2,276,903"
10/19/2021,188.99,192.18,184.4,186.79,"2,070,618"
10/18/2021,182.94,189.87,182.55,186.02,"1,589,648"
10/15/2021,184,186.98,180.88,183.28,"1,199,977"
10/14/2021,183.76,190.2,182.6,183.83,"1,676,008"
10/13/2021,178.3,188.21,176,184.06,"1,930,239"
10/12/2021,180.5,181.78,173.8,175.82,"1,233,652"
10/11/2021,173,188.49,173,178.1,"2,684,855"
10/8/2021,172.5,175.72,171.12,172.68,"818,207"
10/7/2021,172,175.2,170.54,172.12,"1,159,326"
10/6/2021,170.06,172.96,165.81,171.07,"1,200,320"
10/5/2021,171.19,173.17,166.7,172.18,"1,315,854"
10/4/2021,175.95,176.95,170.77,171.36,"1,195,738"
10/1/2021,179.4,179.49,172.25,176.91,"1,551,139"
9/30/2021,175,185.45,166.79,175.47,"3,177,453"
9/29/2021,180.09,184.48,174.61,175.92,"1,899,933"
9/28/2021,188,190.81,178,178.6,"1,770,493"
9/27/2021,185.92,192.05,185.87,189.48,"1,470,146"
9/24/2021,191,191.72,184.11,185.16,"1,685,759"
9/23/2021,192.33,195.75,190.6,191.24,"1,682,259"
9/22/2021,189.64,193.5,186.29,190.14,"2,256,593"
9/21/2021,199.36,199.36,186,189.95,"2,633,827"
9/20/2021,200,202.85,184.55,192.2,"3,941,802"
9/17/2021,208.02,212.49,200.78,204.97,"3,950,643"
9/16/2021,202.33,216.55,201.15,206.37,"3,058,217"
9/15/2021,197,204.87,193.75,204.52,"2,310,407"
9/14/2021,200.65,204.62,195,199.24,"2,141,631"
9/13/2021,193.75,208.88,191.5,203.4,"4,334,068"
9/10/2021,198.41,202.16,190,190.41,"3,042,648"
9/9/2021,180.09,202,178,199.18,"7,511,458"
9/8/2021,201.86,206.88,190.68,198.8,"5,173,566"
9/7/2021,206.25,209.9,196.1,199,"2,501,178"
9/3/2021,212.05,216.27,198.84,202.75,"2,664,005"
9/2/2021,213.86,214.8,206.3,213.52,"1,855,618"
9/1/2021,224,231.44,208.02,212.97,"4,453,782"
8/31/2021,212.7,222.3,211.46,218.24,"3,574,687"
8/30/2021,205,218.19,203.02,209.2,"3,309,584"
8/27/2021,207.7,213,200.02,204.95,"3,230,804"
8/26/2021,200.68,217,199,205.22,"6,238,647"
8/25/2021,206.65,227,193,199.65,"12,861,060"
8/24/2021,166.29,225,165.15,210.29,"14,652,210"
8/23/2021,162.38,167.29,159.55,164.89,"1,343,032"
8/20/2021,153.8,160.09,153.24,159.3,"1,154,858"
8/19/2021,156.77,157.99,150.78,152.9,"1,196,548"
8/18/2021,163.25,165.6,156.75,157.05,"1,411,842"
8/17/2021,161.19,169.48,161.1,163.55,"1,215,938"
8/16/2021,161,169.88,159.16,163.93,"1,574,877"
8/13/2021,160.47,163.55,157.41,162.52,"1,014,751"
8/12/2021,159.88,164.28,157.33,162.35,"1,319,832"
8/11/2021,158.43,159.05,154.62,158.78,"945,428"
8/10/2021,161.36,166.9,155.35,159.05,"1,623,334"
8/9/2021,151.8,164.71,150.66,161.13,"2,249,204"
8/6/2021,154.59,156.5,150.31,151.77,"1,352,689"
8/5/2021,148,157.6,145.22,153.44,"2,412,123"
8/4/2021,152.73,157.79,145.69,146.8,"2,393,484"
8/3/2021,156.74,158.89,148.2,152.75,"14,450,620"
8/2/2021,162,163.59,155.06,157.65,"2,532,931"
7/30/2021,165,167.22,158.87,161.12,"2,377,118"
7/29/2021,170.6,173.89,164.51,164.86,"2,239,995"
7/28/2021,175.72,177.12,164.27,169.12,"4,100,845"
7/27/2021,183,185,176.66,178.54,"1,214,775"
7/26/2021,180.36,186.04,178.76,183.94,"1,260,593"
7/23/2021,181,181.6,173.84,180.36,"1,316,168"
7/22/2021,185.3,187.69,176.15,178.85,"1,412,988"
7/21/2021,187.79,195.51,182.11,185.81,"2,229,184"
7/20/2021,173.9,193.64,172.42,191.18,"3,101,090"
7/19/2021,163.3,176,161.22,173.49,"2,436,934"
7/16/2021,170.15,179.47,166.3,169.04,"3,287,929"
7/15/2021,160,171.99,158.01,166.82,"4,298,589"
7/14/2021,180.49,182.38,165.07,167.62,"3,913,770"
7/13/2021,187.68,188.79,179,180.06,"2,397,944"
7/12/2021,191.42,197.75,187.42,189.25,"1,636,324"
7/9/2021,190.88,194.78,186.75,191.23,"1,582,925"
7/8/2021,179.83,194.22,179.5,191.38,"2,857,514"
7/7/2021,196,197.5,177.56,190.66,"4,239,500"
7/6/2021,204,204.77,193.71,199.56,"2,768,062"
7/2/2021,204.8,205.45,196.5,202.83,"2,602,729"
7/1/2021,213.4,216.83,202,204.36,"2,742,112"
6/30/2021,209.69,215.28,206.94,214.14,"2,539,648"
6/29/2021,213.59,215.22,208.01,210.88,"2,480,009"
6/28/2021,211.25,224.45,210.2,213.25,"4,879,364"
6/25/2021,214,214.2,198.5,209.51,"12,692,750"
6/24/2021,221.16,227.45,211.6,212.31,"3,863,339"
6/23/2021,221.45,222.57,214.12,219.34,"3,555,090"
6/22/2021,217.73,225.88,209.17,220.4,"8,200,177"
6/21/2021,216.95,218.4,197,200.37,"5,120,186"
6/18/2021,220.18,223.49,213,213.82,"4,320,317"
6/17/2021,224,233.66,221.48,223.59,"4,608,573"
6/16/2021,215.24,228.73,209,222.97,"5,564,827"
6/15/2021,226.36,229.25,208,222.5,"7,301,935"
6/14/2021,236.5,238.01,219.2,229.44,"7,132,627"
6/11/2021,222.35,241.13,206.13,233.34,"15,580,770"
6/10/2021,282,288,211,220.39,"22,980,150"
6/9/2021,303.12,328,291.51,302.56,"13,429,310"
6/8/2021,292,344.66,281,300,"17,439,119"
6/7/2021,258,282,255.2,280.01,"6,051,490"
6/4/2021,256.02,265,245.77,248.36,"3,637,515"
6/3/2021,265.71,274.43,242.12,258.18,"7,999,955"
6/2/2021,248.88,294,244.3,282.24,"16,019,220"
6/1/2021,233.48,254.98,227.07,249.02,"9,625,610"
5/28/2021,262.97,268.8,221.43,222,"11,751,370"
5/27/2021,229.8,264,227,254.13,"15,526,300"
5/26/2021,229,248.48,225.55,242.56,"21,119,869"
5/25/2021,181,217.11,181,209.43,"14,887,460"
5/24/2021,175.85,188.46,173.35,180.01,"4,664,348"
5/21/2021,171,179.24,170.33,176.79,"3,654,683"
5/20/2021,170.79,174.91,166.9,170.49,"2,478,168"
5/19/2021,171.99,178.98,164.15,168.83,"4,825,905"
5/18/2021,174.54,189.2,168.27,180.67,"7,738,717"
5/17/2021,159.85,182.5,159,180.6,"7,372,763"
5/14/2021,160,166.47,156.22,159.92,"4,293,530"
5/13/2021,147.44,169.95,146.43,164.5,"8,873,487"
5/12/2021,145.7,150.5,142.23,144.79,"2,731,510"
5/11/2021,137,150.5,136.5,146.92,"4,684,584"
5/10/2021,161.31,161.59,143,143.22,"4,806,685"
5/7/2021,160.11,167.41,157.5,161.11,"2,934,624"
5/6/2021,160.86,164.72,155.6,161.01,"2,942,802"
5/5/2021,161.83,165.5,158.33,159.48,"2,805,409"
5/4/2021,159,161.49,151.8,160.73,"4,007,512"
5/3/2021,177.49,177.49,159.61,162.2,"5,261,019"
4/30/2021,175,183.8,172.7,173.59,"4,433,565"
4/29/2021,176.56,180.86,170.75,176.19,"3,760,250"
4/28/2021,172.1,181.98,166.03,178.58,"5,788,938"
4/27/2021,183.55,188,173.17,177.77,"8,932,718"
4/26/2021,150.98,174.68,148.76,168.93,"10,532,110"
4/23/2021,149,153.66,144.7,151.18,"4,042,057"
4/22/2021,159.1,159.1,146.86,151.17,"4,345,809"
4/21/2021,158.4,162.98,155.92,158.51,"3,812,845"
4/20/2021,164.14,164.89,153.36,158.53,"4,658,608"
4/19/2021,171.8,175.2,162.33,164.37,"10,520,210"
4/16/2021,156,160.2,151.25,154.69,"5,214,710"
4/15/2021,163,166.25,152.8,156.44,"7,856,780"
4/14/2021,143.57,174.09,143,166.53,"21,138,141"
4/13/2021,141.88,145.38,132,140.99,"6,806,868"
4/12/2021,158.11,163.9,135.01,141.09,"16,683,600"
4/9/2021,169.7,171.58,153,158.36,"9,462,380"
4/8/2021,185.88,185.88,164.3,170.26,"10,047,390"
4/7/2021,183.22,184.5,176.11,177.97,"4,768,261"
4/6/2021,185.21,192,183.56,184.5,"6,218,318"
4/5/2021,171,195,164.81,186.95,"14,070,490"
4/1/2021,193.36,196.97,183.6,191.45,"9,334,345"
3/31/2021,197.5,199.46,187.11,189.82,"8,393,834"
3/30/2021,187.5,204.3,182,194.46,"17,094,920"
3/29/2021,180.75,193.92,173.51,181.3,"10,042,180"
3/26/2021,197.68,218.93,163.26,181,"37,430,672"
3/25/2021,123.49,187.5,116.9,183.75,"50,962,340"
3/24/2021,157.98,166.97,118.62,120.34,"24,177,881"
3/23/2021,197.5,201.75,177.55,181.75,"14,429,150"
3/22/2021,205.26,210.36,186.2,194.49,"10,061,510"
3/19/2021,195.73,227,182.66,200.27,"24,677,301"
3/18/2021,214,218.88,195.65,201.75,"11,799,910"
3/17/2021,217.84,231.47,204,209.81,"16,481,590"
3/16/2021,203.16,220.7,172.35,208.17,"35,422,871"
3/15/2021,277.52,283,206,220.14,"24,226,189"
3/12/2021,275,295.5,262.27,264.5,"25,845,900"
3/11/2021,241.64,281.5,232.6,260,"28,312,490"
3/10/2021,269.43,348.5,172,265,"71,570,570"
3/9/2021,217.71,249.85,208.51,246.9,"39,099,328"
3/8/2021,154.89,210.87,146.1,194.5,"63,565,621"
3/5/2021,128.17,151.53,127.5,137.74,"30,733,670"
3/4/2021,125,147.87,115.3,132.35,"32,606,891"
3/3/2021,122.51,127.75,113.12,124.18,"19,273,881"
3/2/2021,116.93,133.2,112.2,118.18,"33,783,039"
3/1/2021,104.54,133.99,99.97,120.4,"49,793,969"
2/26/2021,117.46,142.9,86,101.74,"92,194,148"
2/25/2021,169.56,184.68,101,108.73,"150,308,797"
2/24/2021,44.7,91.71,44.7,91.71,"83,111,742"
2/23/2021,44.97,46.23,40,44.97,"7,565,215"
