Date,Open,High,Low,Close,Volume
2/25/2022,163.84,165.12,160.87,164.85,"91,974,227"
2/24/2022,152.58,162.85,152,162.74,"141,147,500"
2/23/2022,165.54,166.15,159.75,160.07,"90,009,250"
2/22/2022,164.98,166.69,162.15,164.32,"91,162,758"
2/18/2022,169.82,170.54,166.19,167.3,"82,772,672"
2/17/2022,171.03,171.91,168.47,168.88,"69,589,344"
2/16/2022,171.85,173.34,170.05,172.55,"61,177,398"
2/15/2022,170.97,172.95,170.25,172.79,"64,286,320"
2/14/2022,167.37,169.58,166.56,168.88,"86,185,531"
2/11/2022,172.33,173.08,168.04,168.64,"98,670,688"
2/10/2022,174.14,175.48,171.55,172.12,"90,865,906"
2/9/2022,176.05,176.65,174.9,176.28,"71,285,039"
2/8/2022,171.73,175.35,171.43,174.83,"74,829,219"
2/7/2022,172.86,173.95,170.95,171.66,"77,251,203"
2/4/2022,171.68,174.1,170.68,172.39,"82,465,398"
2/3/2022,174.48,176.24,172.12,172.9,"89,418,070"
2/2/2022,174.75,175.88,173.33,175.84,"84,914,258"
2/1/2022,174.01,174.84,172.31,174.61,"86,213,914"
1/31/2022,170.16,175,169.51,174.78,"115,541,602"
1/28/2022,165.71,170.35,162.8,170.33,"179,935,703"
1/27/2022,162.45,163.84,158.28,159.22,"121,954,602"
1/26/2022,163.5,164.39,157.82,159.69,"108,275,297"
1/25/2022,158.98,162.76,157.02,159.78,"115,798,398"
1/24/2022,160.02,162.3,154.7,161.62,"162,706,703"
1/21/2022,164.42,166.33,162.3,162.41,"122,848,898"
1/20/2022,166.98,169.68,164.18,164.51,"91,420,523"
1/19/2022,170,171.08,165.94,166.23,"94,814,992"
1/18/2022,171.51,172.54,169.41,169.8,"91,168,727"
1/14/2022,171.34,173.78,171.09,173.07,"80,440,781"
1/13/2022,175.78,176.62,171.79,172.19,"84,505,758"
1/12/2022,176.12,177.18,174.82,175.53,"74,805,172"
1/11/2022,172.32,175.18,170.82,175.08,"76,138,312"
1/10/2022,169.08,172.5,168.17,172.19,"106,765,602"
1/7/2022,172.89,174.14,171.03,172.17,"86,709,148"
1/6/2022,172.7,175.3,171.64,172,"96,903,961"
