Date,Open,High,Low,Close,Volume
02/09/2022,"29.00","31.10","28.05","31.01","2,399,594"
02/08/2022,"28.54","29.41","27.82","28.35","1,993,046"
02/07/2022,"29.00","30.47","28.42","28.63","1,505,531"
02/04/2022,"28.83","29.64","27.92","28.77","1,840,624"
02/03/2022,"29.98","31.22","28.71","28.92","2,264,180"
02/02/2022,"34.28","34.28","30.92","31.44","2,258,202"
02/01/2022,"32.98","34.50","30.52","34.12","2,682,706"
01/31/2022,"29.01","32.21","29.01","31.93","2,427,024"
01/28/2022,"27.60","29.52","26.74","28.76","2,368,484"
01/27/2022,"29.00","29.99","27.39","27.57","3,673,755"
01/26/2022,"30.58","32.18","27.55","28.56","4,283,147"
01/25/2022,"29.28","30.33","27.72","29.75","2,423,010"
01/24/2022,"27.90","30.02","25.83","29.94","4,995,454"
01/21/2022,"31.20","31.93","29.01","29.21","2,684,914"
01/20/2022,"32.23","34.54","31.40","31.60","2,830,353"
01/19/2022,"33.01","33.91","31.16","31.26","2,164,860"
01/18/2022,"34.64","35.14","32.75","32.87","1,879,502"
01/14/2022,"35.18","35.84","33.77","35.22","2,272,910"
01/13/2022,"38.40","38.41","35.41","35.58","1,784,216"
01/12/2022,"39.10","39.65","36.88","37.97","2,020,666"
01/11/2022,"36.00","40.08","35.28","38.99","2,373,559"
01/10/2022,"36.63","36.90","34.07","35.90","2,490,509"
01/07/2022,"35.41","40.46","35.40","37.14","3,647,764"
01/06/2022,"36.60","37.51","34.26","35.33","2,604,052"
01/05/2022,"39.01","40.23","36.61","36.79","1,794,595"
01/04/2022,"42.50","42.90","38.02","39.03","2,312,458"
01/03/2022,"43.43","44.50","41.72","42.27","1,397,654"
12/31/2021,"42.58","44.95","42.01","42.11","1,972,484"
12/30/2021,"39.53","44.64","39.33","42.91","2,496,054"
12/29/2021,"40.50","40.85","39.20","39.64","2,055,255"
12/28/2021,"42.50","42.64","40.46","40.66","1,970,593"
12/27/2021,"45.15","45.15","42.10","42.56","2,129,024"
12/23/2021,"45.42","45.92","43.90","45.66","1,302,937"
12/22/2021,"45.64","46.76","43.76","45.05","1,413,232"
12/21/2021,"44.97","47.00","44.90","45.83","1,203,610"
12/20/2021,"44.75","45.90","43.38","44.55","2,200,113"
12/17/2021,"42.67","47.12","41.56","46.28","2,570,961"
12/16/2021,"45.00","45.99","41.81","43.25","1,879,166"
12/15/2021,"41.30","44.58","40.60","43.89","2,193,710"
12/14/2021,"42.07","42.64","40.38","41.28","2,068,692"
12/13/2021,"42.51","44.57","40.87","42.47","1,785,124"
12/10/2021,"47.00","48.25","42.60","43.21","1,924,525"
12/09/2021,"49.61","50.25","45.60","46.51","1,524,859"
12/08/2021,"48.48","50.00","46.31","49.60","1,262,922"
12/07/2021,"46.60","48.55","45.84","48.30","1,725,490"
12/06/2021,"43.32","45.95","40.84","44.57","2,076,286"
12/03/2021,"47.24","47.92","43.03","44.06","2,189,805"
12/02/2021,"45.09","48.46","44.28","47.36","2,326,621"
12/01/2021,"50.14","50.30","44.99","45.05","2,185,151"
11/30/2021,"51.30","52.80","48.19","49.45","1,537,112"
11/29/2021,"52.47","53.36","49.88","51.32","1,292,582"
11/26/2021,"50.38","53.05","50.15","52.80","1,092,092"
11/24/2021,"48.46","52.99","47.85","52.63","2,519,842"
11/23/2021,"51.55","51.58","48.05","49.95","2,542,539"
11/22/2021,"52.80","53.23","49.43","51.59","2,367,122"
11/19/2021,"53.00","55.97","52.82","52.82","2,080,208"
11/18/2021,"57.50","57.63","53.00","54.07","3,271,107"
11/17/2021,"61.74","61.75","57.76","57.87","2,328,256"
11/16/2021,"61.85","62.63","60.90","61.82","1,114,261"
11/15/2021,"64.18","64.25","61.72","62.14","1,351,649"
11/12/2021,"66.20","67.14","62.52","63.96","1,573,401"
11/11/2021,"63.64","67.38","63.55","65.85","1,994,084"
11/10/2021,"61.84","65.77","61.80","62.86","2,314,459"
11/09/2021,"65.41","65.92","61.00","62.94","5,523,168"
11/08/2021,"68.56","71.40","68.56","70.50","1,915,279"
11/05/2021,"71.06","72.00","67.58","69.53","1,531,453"
11/04/2021,"72.22","74.35","69.50","71.39","1,859,755"
11/03/2021,"72.00","79.54","71.10","72.06","5,249,474"
11/02/2021,"65.47","68.58","64.47","68.35","1,853,302"
11/01/2021,"62.52","66.45","62.50","65.92","1,301,178"
10/29/2021,"63.00","64.12","61.71","62.16","657,080"
10/28/2021,"61.09","63.45","60.78","63.37","946,085"
10/27/2021,"62.33","63.74","60.75","60.78","1,349,063"
10/26/2021,"65.87","66.00","62.44","62.60","1,018,868"
10/25/2021,"63.17","65.52","62.86","65.01","924,129"
10/22/2021,"66.92","66.92","62.85","63.47","1,255,255"
10/21/2021,"65.36","67.33","65.31","66.95","726,624"
10/20/2021,"65.67","67.30","64.96","65.71","882,340"
10/19/2021,"66.93","67.38","64.11","66.19","1,820,523"
10/18/2021,"64.97","66.94","64.64","66.93","902,715"
10/15/2021,"68.60","68.95","65.28","65.45","1,260,926"
10/14/2021,"67.40","69.64","67.00","67.99","1,425,787"
10/13/2021,"64.14","66.13","63.67","65.87","718,411"
10/12/2021,"63.30","65.18","63.20","64.12","651,345"
10/11/2021,"63.90","65.57","62.88","62.90","1,010,103"
10/08/2021,"64.63","64.75","62.64","63.52","1,229,429"
10/07/2021,"64.91","67.38","64.45","65.47","1,534,048"
10/06/2021,"62.42","64.72","61.79","64.06","1,048,790"
10/05/2021,"62.90","65.08","62.24","62.94","1,219,168"
10/04/2021,"64.17","64.31","61.05","61.87","1,351,446"
10/01/2021,"67.38","67.49","63.71","64.71","1,640,577"
09/30/2021,"66.50","67.55","65.06","67.01","1,136,618"
09/29/2021,"67.98","68.43","64.87","65.67","1,142,384"
09/28/2021,"70.34","71.28","67.02","67.21","1,724,920"
09/27/2021,"69.90","72.65","68.67","71.87","996,360"
09/24/2021,"71.02","71.23","68.94","69.72","1,142,235"
09/23/2021,"72.11","72.77","71.10","71.25","812,752"
09/22/2021,"71.03","72.93","70.94","71.71","790,163"
09/21/2021,"69.80","71.14","68.90","70.16","1,094,084"
09/20/2021,"69.44","71.50","67.76","68.93","1,740,366"
09/17/2021,"72.92","74.00","72.09","73.24","2,244,132"
09/16/2021,"72.48","74.14","71.35","72.28","860,071"
09/15/2021,"71.14","73.08","69.98","72.72","1,078,536"
09/14/2021,"72.98","74.60","70.00","70.91","1,333,572"
09/13/2021,"75.07","75.09","72.21","72.77","1,192,108"
09/10/2021,"76.50","77.54","74.25","74.72","839,940"
09/09/2021,"74.09","77.82","74.00","76.27","1,188,916"
09/08/2021,"76.62","77.45","73.91","74.95","920,630"
09/07/2021,"77.44","79.12","76.62","76.86","881,672"
09/03/2021,"78.99","79.25","76.33","77.32","976,064"
09/02/2021,"79.76","81.68","78.20","79.30","1,113,230"
09/01/2021,"76.18","81.10","76.02","78.85","1,409,142"
08/31/2021,"75.85","76.15","73.90","75.54","744,136"
08/30/2021,"76.99","77.02","74.45","75.47","1,041,941"
08/27/2021,"72.24","76.14","71.66","76.08","1,117,271"
08/26/2021,"74.41","75.68","72.20","72.53","952,089"
08/25/2021,"75.61","76.78","73.82","74.05","908,816"
08/24/2021,"74.37","77.09","73.44","75.96","1,594,658"
08/23/2021,"69.71","73.45","69.69","73.12","1,627,433"
08/20/2021,"68.22","69.79","67.46","68.94","836,216"
08/19/2021,"68.50","70.38","67.01","67.55","1,241,894"
08/18/2021,"69.44","71.61","67.65","69.54","1,536,324"
08/17/2021,"69.99","70.48","66.48","68.39","3,223,569"
08/16/2021,"73.73","74.07","70.51","71.87","1,736,324"
08/13/2021,"76.08","76.49","73.14","73.55","2,155,449"
08/12/2021,"81.00","81.19","75.75","75.84","2,321,299"
08/11/2021,"82.86","83.49","79.27","81.73","1,222,803"
08/10/2021,"84.25","86.00","80.73","83.03","1,260,893"
08/09/2021,"80.95","87.97","80.13","85.35","2,263,159"
08/06/2021,"81.01","83.22","79.31","80.90","2,053,737"
08/05/2021,"82.75","82.76","77.81","79.64","4,346,046"
08/04/2021,"86.06","91.30","85.70","89.88","1,770,407"
08/03/2021,"88.98","88.98","84.53","86.93","1,018,380"
08/02/2021,"88.01","91.35","87.26","88.98","920,644"
07/30/2021,"87.69","89.44","85.81","87.06","598,191"
07/29/2021,"90.86","91.59","87.57","88.25","734,234"
07/28/2021,"88.00","92.00","86.17","90.70","1,005,414"
07/27/2021,"88.28","88.28","83.91","87.39","783,893"
07/26/2021,"85.34","89.32","85.09","87.85","920,565"
07/23/2021,"89.79","90.00","85.57","85.83","1,032,939"
07/22/2021,"92.44","92.45","88.13","88.70","957,884"
07/21/2021,"87.00","93.69","86.86","92.20","1,751,080"
07/20/2021,"85.55","88.26","83.08","86.59","1,119,696"
07/19/2021,"81.56","85.35","80.76","84.24","1,190,491"
07/16/2021,"87.56","88.20","83.49","84.25","1,620,464"
07/15/2021,"87.23","90.88","84.43","86.88","1,496,624"
07/14/2021,"91.70","92.60","86.82","87.29","1,412,134"
07/13/2021,"95.01","95.50","90.90","91.76","1,472,499"
07/12/2021,"97.21","98.98","94.70","96.32","749,198"
07/09/2021,"96.50","98.42","94.20","97.15","774,074"
07/08/2021,"94.52","97.58","92.47","95.95","1,352,008"
07/07/2021,"106.11","106.25","96.74","97.02","1,547,763"
07/06/2021,"107.26","107.36","103.05","105.01","1,200,448"
07/02/2021,"112.41","114.80","107.25","107.65","1,150,452"
07/01/2021,"110.21","115.85","108.51","112.75","1,662,559"
06/30/2021,"111.03","111.92","107.33","109.41","1,002,195"
06/29/2021,"111.21","113.71","109.39","111.86","917,084"
06/28/2021,"110.11","113.16","109.74","110.85","1,128,610"
06/25/2021,"111.29","111.90","107.55","111.90","2,194,400"
06/24/2021,"108.55","112.71","107.35","109.49","1,803,778"
06/23/2021,"101.90","109.08","101.72","107.75","1,995,472"
06/22/2021,"103.08","104.10","100.54","101.89","797,450"
06/21/2021,"102.11","104.50","98.10","102.81","1,284,880"
06/18/2021,"99.19","104.26","98.62","103.83","1,619,891"
06/17/2021,"94.60","101.32","94.13","99.19","1,636,813"
06/16/2021,"96.50","99.57","92.36","95.60","1,746,441"
06/15/2021,"103.50","104.00","94.36","96.38","2,111,163"
06/14/2021,"106.50","107.33","103.31","103.78","1,003,664"
06/11/2021,"102.76","106.98","102.52","106.17","1,742,050"
06/10/2021,"104.99","105.18","99.82","101.36","1,950,444"
06/09/2021,"102.01","107.89","100.75","105.15","2,374,476"
06/08/2021,"99.85","109.01","99.68","103.63","2,652,730"
06/07/2021,"96.50","99.52","93.21","99.01","1,089,537"
06/04/2021,"96.22","98.65","94.83","95.85","1,218,607"
06/03/2021,"96.01","102.28","94.29","96.88","2,990,691"
06/02/2021,"90.56","99.29","90.00","99.03","4,073,122"
06/01/2021,"91.02","91.79","86.58","91.72","1,740,305"
05/28/2021,"86.76","92.75","86.70","90.47","2,569,472"
05/27/2021,"83.41","86.49","81.72","86.00","1,630,383"
