Date,Open,High,Low,Close,Volume
2/11/2022,27.38,27.91,26.15,26.26,"1,279,611"
2/10/2022,27.27,28.32,27.02,27.31,"1,277,460"
2/9/2022,27.65,28.09,27.43,28.07,"1,348,374"
2/8/2022,26.71,27.51,26.51,27.16,"1,296,918"
2/7/2022,27.23,27.96,26.66,26.86,"1,062,053"
2/4/2022,26.6,27.5,26.16,27.1,"1,410,335"
2/3/2022,26.8,27.35,26.14,26.42,"1,525,395"
2/2/2022,28.43,28.52,27.41,27.83,"1,255,091"
2/1/2022,27.79,28.24,26.99,28.2,"1,732,629"
1/31/2022,26,27.39,25.91,27.34,"1,310,918"
1/28/2022,24.71,26.04,24.15,26.04,"2,331,621"
1/27/2022,25.83,26.12,24.49,24.71,"1,966,151"
1/26/2022,26.67,27.01,24.89,25.22,"2,221,081"
1/25/2022,26.34,26.75,25.47,25.94,"1,715,371"
1/24/2022,26,27.09,24.34,27.05,"2,994,009"
1/21/2022,27.31,27.76,26.6,26.62,"1,297,892"
1/20/2022,28.12,28.98,27.46,27.52,"1,258,372"
1/19/2022,28.59,29.32,27.94,27.99,"1,351,511"
1/18/2022,28.37,29.07,28.02,28.11,"1,486,273"
1/14/2022,28.79,29.28,28.16,29.04,"1,536,038"
1/13/2022,30.72,30.94,29.02,29.16,"1,625,162"
1/12/2022,31.29,31.59,30.46,30.61,"1,201,831"
1/11/2022,30.32,31.37,30.27,31.02,"1,420,197"
1/10/2022,29.85,30.46,29.14,30.43,"1,685,297"
1/7/2022,30.96,31.43,30.02,30.49,"1,469,538"
1/6/2022,30.53,31.69,30.45,31.14,"1,907,802"
1/5/2022,31.14,32.03,30.44,30.68,"3,666,195"
1/4/2022,31.45,31.63,30.2,31.18,"1,814,128"
1/3/2022,31.91,32.14,31.15,31.63,"1,074,273"
12/31/2021,32.1,32.56,31.73,31.86,"818,212"
12/30/2021,32.35,32.76,32.12,32.17,"905,895"
12/29/2021,32.39,32.61,32.07,32.39,"657,081"
12/28/2021,32.95,33.07,32.1,32.46,"969,192"
12/27/2021,32.53,33.24,32.5,32.95,"1,257,343"
12/23/2021,32.39,32.83,32.2,32.46,"1,155,530"
12/22/2021,32.14,32.54,31.84,32.37,"1,122,816"
12/21/2021,30.27,32.21,30.26,32.19,"2,532,631"
12/20/2021,29.98,30.1,29.13,29.96,"3,048,812"
12/17/2021,29.87,31.04,29.21,30.63,"4,166,709"
12/16/2021,32.5,32.55,30.3,30.5,"2,397,599"
12/15/2021,31.7,32.62,30.96,32.5,"1,877,442"
12/14/2021,31.76,32.36,31.04,31.7,"1,747,492"
12/13/2021,33.11,33.72,32.3,32.42,"1,265,344"
12/10/2021,33.59,34.05,32.62,32.83,"1,225,939"
12/9/2021,34.11,34.66,32.94,33.2,"1,475,166"
12/8/2021,33.96,34.69,33.26,34.25,"1,653,653"
12/7/2021,33.61,34.61,33.51,33.87,"2,539,289"
12/6/2021,32.19,32.9,31.41,32.6,"2,275,140"
12/3/2021,32.96,33.1,31.43,32.26,"2,084,927"
12/2/2021,31.8,33.08,31.55,32.88,"1,425,073"
12/1/2021,33.56,34.26,31.87,32.04,"2,417,823"
11/30/2021,34.58,35.56,32.76,33.22,"2,772,955"
11/29/2021,34.84,35.21,34.04,34.72,"2,227,020"
11/26/2021,34.6,35.24,34.01,34.58,"2,382,834"
11/24/2021,33.53,35.27,32.3,35.2,"4,724,249"
11/23/2021,33.16,33.18,31.72,32.58,"3,554,997"
11/22/2021,34.4,34.55,32.77,33.08,"3,049,028"
11/19/2021,34.7,35.08,33.85,34.27,"1,739,586"
11/18/2021,35.74,35.79,34.77,34.87,"2,088,461"
11/17/2021,35.48,36.52,35.1,35.15,"2,126,230"
11/16/2021,34.53,35.32,34.41,35.1,"990,643"
11/15/2021,34.82,35.2,34.39,34.77,"966,675"
11/12/2021,35.05,35.05,34.35,34.83,"1,066,175"
11/11/2021,34.84,35.08,34.12,34.83,"1,212,847"
11/10/2021,35.36,35.41,33.83,34.53,"1,834,901"
11/9/2021,35.71,36.33,35.51,35.75,"986,224"
11/8/2021,35.93,36.38,35.67,35.75,"1,316,041"
11/5/2021,35.94,36.37,35.37,35.65,"1,070,175"
11/4/2021,36.4,36.4,35.47,35.85,"1,283,766"
11/3/2021,35.01,36.31,35.01,36.28,"1,794,985"
11/2/2021,35.1,35.28,34.75,35.19,"1,317,538"
11/1/2021,34.23,35.35,34.2,35.09,"2,018,753"
10/29/2021,34.14,34.63,34.01,34.31,"1,016,451"
10/28/2021,34.24,34.69,33.92,34.32,"942,483"
10/27/2021,34.47,34.78,33.9,34.23,"1,091,275"
10/26/2021,35.55,35.73,34.13,34.44,"1,768,761"
10/25/2021,35.89,36.05,35.35,35.36,"1,197,593"
10/22/2021,36.87,37.16,35.87,35.89,"1,060,731"
10/21/2021,36.08,37,36.08,36.87,"1,624,484"
10/20/2021,36.43,36.43,35.75,36.21,"1,023,922"
10/19/2021,35.58,36.78,35.34,36.27,"1,785,634"
10/18/2021,34.93,35.62,34.92,35.4,"1,225,844"
10/15/2021,35.78,35.89,34.98,35.05,"1,771,010"
10/14/2021,35.5,36.28,35.5,35.66,"1,441,031"
10/13/2021,35.21,36,35.17,35.27,"1,874,561"
10/12/2021,34.92,35.49,34.88,35.02,"1,808,392"
10/11/2021,34.9,35.6,34.58,34.68,"2,181,777"
10/8/2021,36.48,37.07,35.36,35.38,"2,041,080"
10/7/2021,38.35,38.5,36.53,36.61,"4,425,918"
10/6/2021,37.37,38.35,36.98,38.12,"2,259,833"
10/5/2021,37.45,38.04,36.96,37.87,"2,266,644"
10/4/2021,38.79,38.88,36.96,37.42,"2,858,442"
10/1/2021,38.1,39.34,37.88,39.04,"2,135,503"
9/30/2021,37.73,38.32,37.47,37.7,"2,448,638"
9/29/2021,38.73,38.84,37.53,37.75,"1,985,646"
9/28/2021,39.27,39.86,38.37,38.38,"3,084,950"
9/27/2021,41.91,41.91,40.05,40.07,"3,262,390"
9/24/2021,42.04,42.35,41.56,41.81,"2,514,730"
9/23/2021,40.44,42.69,39.89,42.5,"6,163,140"
9/22/2021,40.05,40.64,39.85,40.2,"2,551,338"
9/21/2021,40.68,40.75,39.63,40.04,"2,371,467"
9/20/2021,40.06,40.86,39.83,40.57,"2,147,353"
9/17/2021,42.25,42.35,40.73,41.18,"6,155,043"
9/16/2021,42.65,43.42,41.76,42.05,"6,229,274"
9/15/2021,41.75,42.87,41.4,42.77,"1,310,617"
9/14/2021,41.82,42.4,41.51,41.72,"1,209,383"
9/13/2021,42.8,42.8,41.45,41.82,"2,549,156"
9/10/2021,43.68,44.2,42.58,42.67,"1,974,440"
9/9/2021,42.93,43.53,42.15,43.24,"3,174,876"
9/8/2021,43.8,43.9,42.81,42.96,"3,055,446"
9/7/2021,43.78,44.5,43.3,43.95,"2,898,883"
9/3/2021,40.09,43.56,39.89,43.24,"6,045,874"
9/2/2021,39.53,41.93,39.48,40.4,"8,160,289"
9/1/2021,37.13,37.62,36.86,36.95,"2,426,004"
8/31/2021,36.63,37.08,36.32,36.91,"1,027,987"
8/30/2021,37.2,37.2,36.29,36.69,"1,656,938"
8/27/2021,35.66,36.85,35.63,36.77,"1,669,303"
8/26/2021,35.86,36.34,35.04,35.59,"1,785,738"
8/25/2021,35.59,36.15,35.47,35.71,"864,586"
8/24/2021,35.25,35.89,35.25,35.62,"1,252,094"
8/23/2021,34.41,35.25,34.05,35.07,"1,815,724"
8/20/2021,33.19,34.31,32.87,34.11,"2,469,364"
8/19/2021,34.69,34.75,32.55,33.1,"4,595,705"
8/18/2021,35.64,36.4,35.63,35.81,"789,189"
8/17/2021,36.22,36.38,35.48,35.68,"1,367,125"
8/16/2021,37.54,37.59,36.32,36.62,"1,339,830"
8/13/2021,36.99,37.99,36.91,37.83,"1,533,734"
8/12/2021,35.64,37.04,35.53,36.91,"1,579,371"
8/11/2021,35.88,36.02,35.58,35.9,"781,528"
8/10/2021,36.33,36.4,35.58,35.68,"1,152,551"
8/9/2021,36.62,36.62,35.83,36.26,"873,758"
8/6/2021,36.86,36.91,36.4,36.61,"714,171"
8/5/2021,36.42,37.02,36.26,36.78,"803,173"
8/4/2021,36.29,36.65,36,36.25,"995,805"
8/3/2021,35.95,36.32,35.52,36.23,"977,860"
8/2/2021,36.1,36.36,35.9,35.99,"914,458"
7/30/2021,36.22,36.38,35.8,36.02,"839,719"
7/29/2021,36.53,36.78,36.29,36.43,"872,308"
7/28/2021,36.37,36.73,36.08,36.49,"841,316"
7/27/2021,36.73,36.78,35.86,36.19,"1,337,423"
7/26/2021,36.4,36.86,36.25,36.82,"898,581"
7/23/2021,36.44,36.65,36.07,36.39,"1,302,453"
7/22/2021,36.49,36.58,36.14,36.28,"1,490,836"
7/21/2021,35.27,36.49,35,36.42,"2,231,611"
7/20/2021,33.78,35.64,33.57,35.23,"2,243,180"
7/19/2021,33.15,34.06,33.14,33.67,"1,283,921"
7/16/2021,34.9,34.99,33.83,33.94,"1,711,895"
7/15/2021,35.13,35.45,34.29,34.59,"1,783,891"
7/14/2021,36.62,36.83,35,35.12,"1,987,241"
7/13/2021,36.82,37.01,36.31,36.5,"1,355,720"
7/12/2021,38.2,38.34,36.99,37.05,"1,147,391"
7/9/2021,37.6,38.16,37.34,38.11,"1,323,987"
7/8/2021,36.51,37.77,36.42,37.54,"1,720,496"
7/7/2021,38.51,38.89,37.3,37.43,"1,877,720"
7/6/2021,38.67,39.22,38.24,38.48,"1,920,049"
7/2/2021,38.59,38.89,38.39,38.42,"1,088,052"
7/1/2021,38.22,38.76,38.05,38.28,"1,492,186"
6/30/2021,39.27,39.27,38.21,38.22,"2,552,275"
6/29/2021,39.11,39.5,38.78,39.41,"1,576,595"
