Date,Open,High,Low,Close,Volume
2/11/2022,449.41,451.61,438.94,440.46,"153,214,594"
2/10/2022,451.34,457.71,447.2,449.32,"140,103,703"
2/9/2022,455.22,457.88,455.01,457.54,"92,589,930"
2/8/2022,446.73,451.92,445.22,450.94,"81,012,039"
2/7/2022,449.51,450.99,445.85,447.26,"84,472,867"
2/4/2022,446.35,452.78,443.83,448.7,"118,454,398"
2/3/2022,450.95,452.97,445.71,446.6,"118,024,398"
2/2/2022,455.5,458.12,453.05,457.35,"117,361,000"
2/1/2022,450.68,453.63,446.94,452.95,"123,155,398"
1/31/2022,441.24,450.28,439.81,449.91,"152,251,391"
1/28/2022,432.68,442,427.82,441.95,"164,457,406"
1/27/2022,438.26,441.59,429.45,431.24,"149,878,297"
1/26/2022,440.72,444.04,428.86,433.38,"186,391,109"
1/25/2022,433.06,439.72,427.15,434.47,"167,997,297"
1/24/2022,432.03,440.38,420.76,439.84,"252,496,703"
1/21/2022,445.56,448.06,437.95,437.98,"202,271,203"
1/20/2022,453.75,458.74,444.5,446.75,"122,379,695"
1/19/2022,458.13,459.61,451.46,451.75,"109,357,602"
1/18/2022,459.74,459.96,455.31,456.49,"109,872,398"
1/14/2022,461.19,465.09,459.9,464.72,"95,890,953"
1/13/2022,472.19,472.88,463.44,464.53,"91,173,117"
1/12/2022,471.59,473.2,468.94,471.02,"67,605,438"
1/11/2022,465.23,469.85,462.05,469.75,"74,303,055"
1/10/2022,462.7,465.74,456.6,465.51,"119,362,000"
1/7/2022,467.95,469.2,464.65,466.09,"85,111,594"
1/6/2022,467.89,470.82,465.43,467.94,"86,858,898"
1/5/2022,477.16,477.98,468.28,468.38,"104,538,898"
1/4/2022,479.22,479.98,475.58,477.55,"71,178,680"
1/3/2022,476.3,477.85,473.85,477.71,"72,668,234"
12/31/2021,475.64,476.86,474.67,474.96,"65,237,434"
12/30/2021,477.93,479,475.67,476.16,"55,329,039"
12/29/2021,476.98,478.56,475.92,477.48,"54,502,961"
